sectionCenters,x,y,z
130,-25643.066038683395,37479.418852447314,16243.79865190755
131,-25637.617438954054,37467.42396301656,16240.851553583201
132,-25636.81023899415,37465.64694236015,16240.41494642404
133,-25636.003039034244,37463.86992170375,16239.978339264877
134,-25630.554439304906,37451.875032273,16237.031240940527
135,-25610.778040287296,37408.338026191,16226.334365541039
136,-25591.001641269686,37364.801020109,16215.637490141551
137,-25585.55304154034,37352.80613067825,16212.690391817203
138,-25584.74584158044,37351.029110021846,16212.253784658042
139,-25583.938641620538,37349.25208936544,16211.817177498879
140,-25578.541042995363,37337.25238040993,16208.805668707284
141,-25560.418229972784,37293.55911303195,16196.020441529585
142,-25542.295416950205,37249.86584565398,16183.235214351887
143,-25537.30239703582,37237.82790464167,16179.712753802929
144,-25536.562690381837,37236.04450597319,16179.190907795677
145,-25535.822983727856,37234.2611073047,16178.669061788423
146,-25530.82996381347,37222.223166292395,16175.146601239467
147,-25512.70715079089,37178.52989891442,16162.361374061766
148,-25494.584337768312,37134.83663153644,16149.576146884068
149,-25489.591317853927,37122.79869052414,16146.05368633511
150,-25488.851611199945,37121.01529185565,16145.531840327858
151,-25488.111904545964,37119.231893187156,16145.009994320604
152,-25483.118884631578,37107.19395217486,16141.487533771648
153,-25464.996071609,37063.500684796876,16128.702306593947
154,-25446.87325858642,37019.8074174189,16115.91707941625
155,-25441.880238672034,37007.7694764066,16112.39461886729
156,-25441.140532018053,37005.98607773811,16111.872772860039
157,-25440.40082536407,37004.202679069625,16111.350926852785
158,-25435.407805449686,36992.16473805732,16107.828466303828
159,-25417.284992427107,36948.471470679346,16095.043239126127
160,-25399.162179404528,36904.778203301365,16082.25801194843
161,-25394.169159490142,36892.740262289066,16078.735551399472
162,-25393.42945283616,36890.95686362058,16078.21370539222
163,-25392.68974618218,36889.173464952095,16077.691859384966
164,-25387.696726267794,36877.135523939796,16074.16939883601
165,-25369.573913245214,36833.442256561815,16061.384171658308
166,-25351.451100222635,36789.74898918384,16048.598944480607
167,-25346.45808030825,36777.711048171535,16045.07648393165
168,-25345.71837365427,36775.92764950305,16044.554637924397
169,-25344.978667000287,36774.144250834564,16044.032791917145
170,-25339.9856470859,36762.106309822266,16040.510331368187
171,-25321.862834063322,36718.413042444285,16027.725104190486
172,-25303.740021040747,36674.71977506631,16014.939877012785
173,-25298.767007392147,36662.67955014316,16011.39698851236
174,-25298.03048121775,36660.895788391834,16010.871894988391
175,-25297.29395504335,36659.112026640505,16010.34680146442
176,-25292.32240336616,36647.07163481903,16006.80242017762
177,-25274.277512093395,36603.36947191143,15993.937628840351
178,-25256.232620820625,36559.667309003824,15981.072837503081
179,-25251.261069143435,36547.62691718235,15977.528456216281
180,-25250.524542969037,36545.84315543102,15977.00336269231
181,-25249.78801679464,36544.059393679694,15976.478269168341
182,-25244.81646511745,36532.01900185821,15972.933887881543
183,-25226.77157384468,36488.31683895061,15960.069096544272
184,-25208.726682571913,36444.61467604301,15947.204305207
185,-25203.755130894722,36432.574284221526,15943.659923920202
186,-25203.018604720324,36430.7905224702,15943.134830396233
187,-25202.282078545926,36429.00676071887,15942.609736872262
188,-25197.310526868736,36416.966368897396,15939.065355585462
189,-25179.26563559597,36373.26420598979,15926.200564248193
190,-25161.2207443232,36329.56204308219,15913.335772910923
191,-25156.24919264601,36317.521651260715,15909.791391624123
192,-25155.51266647161,36315.737889509386,15909.266298100152
